x, y0
, 
um, um
0, -0.143201
1.98397, -0.160675
3.96794, -0.154516
5.9519, -0.267683
7.93587, -0.403135
9.91984, -0.328772
11.9038, -0.199677
13.8878, -0.0821871
15.8717, -0.0334193
17.8557, -0.0317057
19.8397, -0.0771117
21.8237, -0.0804975
23.8076, -0.0723861
25.7916, -0.0239823
27.7756, 0.012546
29.7595, 0.0670778
31.7435, 0.0936935
33.7275, 0.102792
35.7114, 0.100922
37.6954, 0.119412
39.6794, 0.183492
41.6633, 0.240821
43.6473, 0.274497
45.6313, 0.230484
47.6152, 0.171871
49.5992, 0.134409
51.5832, 0.141935
53.5671, 0.132424
55.5511, 0.13792
57.5351, 0.0822107
59.519, -0.113029
61.503, -0.219739
63.487, -0.159646
65.471, -0.0856832
67.4549, -0.00157522
69.4389, 0.111661
71.4229, 0.268909
73.4068, 0.398904
75.3908, 0.43113
77.3748, 0.390531
79.3587, 0.324333
81.3427, 0.283526
83.3267, 0.24547
85.3106, 0.227054
87.2946, 0.195861
89.2786, 0.139501
91.2625, 0.121128
93.2465, 0.12443
95.2305, 0.122212
97.2144, 0.122836
99.1984, 0.119023
101.182, 0.13043
103.166, 0.153198
105.15, 0.189751
107.134, 0.228516
109.118, 0.283491
111.102, 0.31674
113.086, 0.292911
115.07, 0.253478
117.054, 0.190445
119.038, 0.178032
121.022, 0.152584
123.006, 0.0997147
124.99, 0.0371109
126.974, -0.033461
128.958, -0.0268524
130.942, 0.0320488
132.926, 0.115134
134.91, 0.174768
136.894, 0.205626
138.878, 0.203077
140.862, 0.150279
142.846, 0.0980397
144.83, 0.0552632
146.814, 0.0363726
148.798, 0.075287
150.782, 0.159624
152.766, 0.220306
154.75, 0.201808
156.733, 0.165648
158.717, 0.131506
160.701, 0.0789542
162.685, 0.0440333
164.669, 0.0260178
166.653, 0.0712626
168.637, 0.113536
170.621, 0.153224
172.605, 0.142117
174.589, 0.120593
176.573, 0.0703556
178.557, 0.0281536
180.541, 0.0636392
182.525, 0.102353
184.509, 0.130938
186.493, 0.125802
188.477, 0.107355
190.461, 0.0296166
192.445, -0.0197132
194.429, -0.0397222
196.413, -0.0042939
198.397, 0.118769
200.381, 0.271515
202.365, 0.368838
204.349, 0.390955
206.333, 0.36983
208.317, 0.339939
210.301, 0.487806
212.285, 0.432383
214.269, 0.353714
216.253, 0.298109
218.237, 0.306871
220.22, 0.238683
222.204, 0.23439
224.188, 0.193494
226.172, 0.158189
228.156, 0.152151
230.14, 0.0934343
232.124, 0.0789091
234.108, 0.0675348
236.092, 0.0338284
238.076, 0.00363073
240.06, 0.00961771
242.044, 0.0322013
244.028, 0.0845146
246.012, 0.125247
247.996, 0.600035
249.98, -0.104941
251.964, 0.179709
253.948, -0.0897831
255.932, -0.272874
257.916, -0.101763
259.9, -0.163307
261.884, -0.216955
263.868, -0.193685
265.852, -0.458887
267.836, -0.34212
269.82, -0.318107
271.804, -0.416515
273.788, -0.51973
275.772, -0.503434
277.756, -0.466562
279.74, -0.429322
281.723, -0.445426
283.707, -0.458246
285.691, -0.458299
287.675, -0.466925
289.659, -0.523783
291.643, -0.51833
293.627, -0.508051
295.611, -0.534454
297.595, -0.548274
299.579, -0.53912
301.563, -0.536735
303.547, -0.606763
305.531, -0.599071
307.515, -0.564968
309.499, -0.563659
311.483, -0.594278
313.467, -0.584868
315.451, -0.545946
317.435, -0.536436
319.419, -0.5309
321.403, -0.561949
323.387, -0.615016
325.371, -0.607265
327.355, -0.559501
329.339, -0.52907
331.323, -0.529157
333.307, -0.536095
335.291, -0.52553
337.275, -0.556314
339.259, -0.602317
341.243, -0.591198
343.227, -0.546638
345.21, -0.519665
347.194, -0.516706
349.178, -0.472764
351.162, -0.449984
353.146, -0.420276
355.13, -0.40233
357.114, -0.391131
359.098, -0.381362
361.082, -0.353652
363.066, -0.346555
365.05, -0.351723
367.034, -0.326819
369.018, -0.266501
371.002, -0.221109
372.986, -0.187969
374.97, -0.17411
376.954, -0.185453
378.938, -0.191505
380.922, -0.191851
382.906, -0.168445
384.89, -0.144563
386.874, -0.169075
388.858, -0.152161
390.842, -0.124987
392.826, -0.0460847
394.81, -0.00143083
396.794, -0.027625
398.778, -0.00395363
400.762, 0.0281071
402.746, 0.060542
404.73, 0.172548
406.713, 0.264474
408.697, 0.25602
410.681, 0.283169
412.665, 0.292082
414.649, 0.266399
416.633, 0.25655
418.617, 0.207995
420.601, 0.0472981
422.585, -0.163383
424.569, -0.044663
426.553, -0.0154914
428.537, -0.0715931
430.521, -0.130261
432.505, -0.108066
434.489, -0.0496532
436.473, 0.00238808
438.457, 0.00659415
440.441, -0.00959544
442.425, -0.00456945
444.409, 0.0110275
446.393, 0.0183681
448.377, 0.0137514
450.361, -0.0207054
452.345, -0.10678
454.329, -0.18175
456.313, -0.228714
458.297, -0.283456
460.281, -0.316228
462.265, -0.317269
464.249, -0.243791
466.233, -0.156745
468.217, -0.0612089
470.2, 0.00425365
472.184, 0.0443908
474.168, 0.0991127
476.152, 0.13112
478.136, 0.137152
480.12, 0.143618
482.104, 0.143514
484.088, 0.126553
486.072, 0.117917
488.056, 0.13528
490.04, 0.154836
492.024, 0.176522
494.008, 0.18369
495.992, 0.202365
497.976, 0.23675
499.96, 0.31552
501.944, 0.404995
503.928, 0.458069
505.912, 0.48542
507.896, 0.48376
509.88, 0.442575
511.864, 0.387857
513.848, 0.345167
515.832, 0.303247
517.816, 0.282424
519.8, 0.284532
521.784, 0.272937
523.768, 0.213648
525.752, 0.165788
527.736, 0.141317
529.72, 0.134276
531.703, 0.111598
533.687, 0.0417871
535.671, -0.0283391
537.655, -0.0665314
539.639, -0.0757896
541.623, -0.0695491
543.607, -0.0527212
545.591, -0.00928592
547.575, 0.0499567
549.559, 0.077237
551.543, 0.0626729
553.527, 0.0603626
555.511, 0.0390961
557.495, 0.0433839
559.479, 0.0652806
561.463, 0.10159
563.447, 0.124145
565.431, 0.116022
567.415, 0.126783
569.399, 0.165624
571.383, 0.219661
573.367, 0.226805
575.351, 0.169513
577.335, 0.0976984
579.319, 0.0462811
581.303, 0.0165148
583.287, -0.00856913
585.271, -0.0412388
587.255, -0.0848271
589.239, -0.0915764
591.223, -0.0893128
593.207, -0.118999
595.19, -0.148052
597.174, -0.146829
599.158, -0.14497
601.142, -0.129347
